item_type,order_state,last_update_time,branch,customer,price
Cookies,Shipped,2019-10-31 17:29:32,195,1544,50
Cookies,Shipped,2000-12-18 06:19:56,247,1478,50
Cake,Shipped,1999-09-12 05:27:52,454,1851,500
Cake,Shipped,1972-01-21 19:07:48,197,1830,500
Cookies,Delivered,1970-12-15 02:52:51,846,1278,50
Cake,Canceled,2018-08-26 12:03:14,270,1714,500
Cookies,Delivered,1984-05-28 16:07:04,483,1014,50
Muffins,Created,2021-12-27 14:05:57,318,1188,100
Cake,Created,2007-01-29 03:41:12,761,1178,500
Muffins,Canceled,2005-10-07 08:39:13,995,1446,100
Muffins,Created,1993-04-17 12:17:51,552,1229,100
Cookies,Canceled,2018-08-20 01:18:49,327,1244,50
Cookies,Created,2011-02-12 12:22:18,134,1803,50
Cookies,Delivered,1984-03-03 03:29:42,84,1032,50
Cookies,Shipped,1970-04-23 22:35:33,398,1621,50
Cookies,Created,1975-01-09 08:35:44,701,1909,50
Cookies,Canceled,2017-01-11 15:07:31,916,1970,50
Muffins,Created,1973-07-09 03:48:26,816,1406,100
Muffins,Delivered,2011-04-07 21:43:24,429,1954,100
Cake,Canceled,1972-07-17 15:06:04,444,1313,500
Cake,Delivered,2012-06-07 09:37:48,619,1248,500
Cookies,Created,1983-01-09 14:04:25,206,1544,50
Muffins,Delivered,2013-05-31 04:06:31,37,1535,100
Cake,Created,2002-11-03 06:19:44,747,1788,500
Muffins,Created,1996-01-27 20:13:35,421,1312,100
Cake,Created,2005-01-16 15:46:04,858,1159,500
Muffins,Shipped,2016-03-20 02:41:22,576,1645,100
Cake,Created,1991-09-19 01:44:53,573,1870,500
Cake,Canceled,1985-09-12 10:48:10,690,1077,500
Muffins,Canceled,1997-10-23 01:29:04,548,1072,100
Muffins,Created,2004-09-22 14:07:15,762,1027,100
Muffins,Shipped,1991-04-09 22:56:43,361,1058,100
Muffins,Shipped,2010-12-26 21:43:59,6,1257,100
Muffins,Delivered,1999-11-02 18:50:20,793,1253,100
Cake,Canceled,1986-03-23 18:11:40,185,1177,500
Cookies,Created,2010-01-23 01:38:01,912,1957,50
Cookies,Created,2003-06-16 11:02:33,905,1907,50
Cake,Canceled,1970-10-08 13:52:16,603,1893,500
Cookies,Canceled,2003-06-26 18:02:22,639,1985,50
Muffins,Canceled,2019-11-22 17:19:57,703,1250,100
Muffins,Canceled,1998-09-12 23:11:47,858,1603,100
Cookies,Canceled,1998-10-25 02:22:39,158,1283,50
Cookies,Shipped,1982-09-09 20:44:38,998,1488,50
Muffins,Canceled,1970-07-18 07:29:26,804,1524,100
Cake,Delivered,2004-03-19 11:41:26,985,1998,500
Cookies,Shipped,1983-12-30 15:39:23,549,1204,50
Muffins,Shipped,2000-05-22 18:31:07,267,1159,100
Muffins,Canceled,1983-03-23 00:49:15,863,1321,100
Muffins,Shipped,1970-09-22 09:22:22,735,1551,100
Cookies,Created,1971-10-30 01:37:33,508,1390,50
Muffins,Canceled,2013-02-06 04:49:52,123,1404,100
Cookies,Delivered,2021-03-02 19:29:10,580,1353,50
Cake,Delivered,1996-02-14 21:28:32,765,1071,500
Cookies,Created,1988-01-20 18:01:39,964,1215,50
Muffins,Canceled,2015-12-16 18:14:02,334,1263,100
Cake,Delivered,2023-06-27 05:18:40,292,1291,500
Cake,Delivered,2002-12-31 20:49:57,893,1767,500
Muffins,Canceled,1975-04-25 02:18:31,449,1531,100
Muffins,Canceled,1983-01-23 07:03:46,583,1044,100
Cookies,Canceled,2003-04-22 13:18:41,762,1459,50
Muffins,Created,2001-08-17 06:22:18,45,1253,100
Muffins,Canceled,2013-09-18 23:27:23,69,1838,100
Cake,Delivered,2007-02-23 09:52:10,333,1202,500
Cake,Canceled,1984-07-09 07:27:17,762,1035,500
Cake,Delivered,1994-03-22 15:38:37,699,1314,500
Muffins,Delivered,2016-09-27 21:10:17,238,1015,100
Cookies,Shipped,1971-08-28 07:56:06,273,1369,50
Muffins,Delivered,2015-03-06 05:51:57,757,1739,100
Cookies,Created,1997-12-10 13:17:19,755,1936,50
Muffins,Created,1986-12-03 02:50:18,129,1590,100
Muffins,Delivered,1985-06-16 18:52:26,999,1545,100
Cookies,Delivered,1975-02-24 00:51:24,537,1238,50
